mac_address,vendor
7c:bc:84,"Nanning auto digital technology co.,LTD"
98:f9:c7,"Koala Technology CO., LTD."
6c:df:fb,Hashtrend AG
98:f9:c7,GoodBox
98:f9:c7,"Tonycore Technology Co.,Ltd."
98:f9:c7,hangzhou soar security technologies limited liability company
2c:48:35,"IROOTECH TECHNOLOGY CO.,LTD"
0c:fe:5d,"NEWGREEN TECH CO., LTD."
0c:fe:5d,"Bepal Technology Co.,Ltd."
3c:39:e7,Private
0c:fe:5d,"Chengdu Ledong Information & Technology Co., Ltd."
6c:5c:3d,"GUANGZHOU GUANGRI ELEVATOR INDUSTRY CO.,LTD"
6c:5c:3d,"ShenZhen Hugsun Technology Co.,Ltd."
6c:5c:3d,Unitel Engineering
a8:3f:a1,BEGLEC
1c:fd:08,"ShenZhen DeLippo Technology Co., LTD"
a8:3f:a1,Neos Ventures Limited
a8:3f:a1,GTDevice LLC
e8:18:63,Private
3c:6a:2c,TP Radio
3c:6a:2c,"Xiamen Smarttek CO., Ltd."
3c:6a:2c,Eltov System
3c:6a:2c,Metro
3c:6a:2c,Olibra LLC
3c:6a:2c,"XI'AN YEP TELECOM TECHNOLOGY CO.,LTD"
a4:ed:43,Wuxi Junction Infomation Technology Incorporated Company
30:0a:60,Ampetronic Ltd
30:0a:60,"WINTEK System Co., Ltd"
30:0a:60,Giax GmbH
30:0a:60,"Thermo Process Instruments, LP"
a0:28:33,"Xiamen Caimore Communication Technology Co.,Ltd."
a0:28:33,GERSYS GmbH
a4:ed:43,Brand New Brand Nordic AB
a4:ed:43,Linseis Messgeraete GmbH
a0:28:33,Audix
a0:28:33,"Shanghai Nohmi Secom Fire Protection  Equipment Co.,Ltd."
84:89:ec,"Shenzhen Intellifusion Technologies Co., Ltd."
00:55:da,Victorsure Limited
84:89:ec,"Research Electronics International, LLC."
30:09:f9,OOO Microlink-Svyaz
84:89:ec,Arts Digital Technology (HK) Ltd.
84:89:ec,Vayyar Imaging Ltd.
84:89:ec,POCT biotechnology
30:09:f9,Technology for Humankind
c0:83:59,"SHANGHAI CHARMHOPE INFORMATION TECHNOLOGY CO.,LTD."
9c:f6:dd,"Ithor IT Co.,Ltd."
9c:f6:dd,"Guangzhou LANGO Electronics Technology Co., Ltd."
9c:f6:dd,CAMA（Luoyang）Electronics Co.，Ltd
c0:83:59,Suzhou Siheng Science and Technology Ltd.
c0:83:59,ista International GmbH
c0:83:59,"Fuzhou Fdlinker Technology Co.,LTD"
04:c3:e6,Teleepoch Ltd
04:c3:e6,"Sealed Unit Parts Co., Inc."
c0:83:59,PCH Engineering A/S
b4:4b:d6,DongYoung media
b4:4b:d6,Perspicace Intellegince Technology
3c:42:7e,"Shenzhen VETAS Communication Technology Co , Ltd."
3c:42:7e,Privacy Labs
98:6d:35,Private
3c:42:7e,"Starloop Tech Co., Ltd."
3c:42:7e,Geoplan Korea
b4:4b:d6,Huizhou Sunoda Technology Co. Ltd
b4:4b:d6,"Shenzhen Hi-Net Technology Co., Ltd."
b4:4b:d6,"Taizhou convergence Information technology Co.,LTD"
b4:4b:d6,G4S Monitoring Technologies Ltd
d0:d9:4f,Private
d4:7c:44,SHENZHEN ANYSEC TECHNOLOGY CO. LTD
d4:7c:44,"Pongee Industries Co., Ltd."
a0:19:b2,ARIMA Communications Corp.
a0:19:b2,GfG mbH
1c:a0:d3,Exicom Tele-Systems Ltd.
a0:19:b2,"HangZhou iMagic Technology Co., Ltd"
a0:19:b2,"RYD Electronic Technology Co.,Ltd."
d4:7c:44,STRIVE ORTHOPEDICS INC
d4:7c:44,OPTiM Corporation
34:04:9e,Private
2c:48:35,Phasor Solutions Ltd
2c:48:35,FAST
3c:24:f0,Swissdotnet SA
0c:73:eb,"U-PASS.CO.,LTD"
48:0b:b2,"Microprogram Information Co., Ltd"
48:0b:b2,"Hangzhou Freely Communication Co., Ltd."
48:0b:b2,BravoCom（xiamen）TechCo.Ltd
48:0b:b2,SHENZHEN TOPWELL TECHNOLOGY CO..LTD
88:5f:e8,"Changsha Xiangji-Haidun Technology Co., Ltd"
30:1f:9a,Smart Component Technologies LTD
30:1f:9a,"CHISON Medical Technologies Co., Ltd."
88:5f:e8,"Shenzhen ORVIBO Technology Co., Ltd"
88:5f:e8,"Apoidea Technology Co., Ltd."
f0:41:c8,ATN Media Group FZ LLC
f0:41:c8,Telstra
88:a9:a7,Shenzhenshi kechuangzhixian technology Co.LTD
88:a9:a7,Volterman Inc.
88:a9:a7,"AVLINK INDUSTRIAL CO., LTD"
f0:41:c8,"DongGuan Siyoto Electronics Co., Ltd"
f0:41:c8,Candelic Limited
a4:da:22,"Shen Zhen City YaKun Electronics Co., Ltd"
a4:da:22,Klashwerks Inc.
a4:da:22,"Hydro Electronic Devices, Inc."
a4:da:22,"DURATECH Enterprise,LLC"
a4:da:22,Abetechs GmbH
a4:da:22,LORIOT AG
a4:da:22,T2T System
a4:da:22,Original Products Pvt. Ltd.
dc:e5:33,Tintel Hongkong Co.Ltd
dc:e5:33,JB-Lighting Lichtanlagen GmbH
c4:ff:bc,GSM Innovations Pty Ltd
dc:e5:33,Remko GmbH & Co. KG
dc:e5:33,Ambi Labs Limited
c4:ff:bc,comtime GmbH
c4:ff:bc,"VISATECH C0., LTD."
1c:21:d1,p2-plus inc.
34:29:8f,Albert Handtmann Maschinenfabrik GmbH&Co.KG
9c:43:1e,"HK ELEPHONE Communication Tech Co.,Limited"
28:2c:02,Tokin Limited
28:2c:02,LLC MICROTEH
28:2c:02,"ThirdReality, Inc"
9c:43:1e,"Antailiye Technology Co.,Ltd"
9c:43:1e,Midas Technology DBA Phoenix Audio Technologies
f8:b5:68,"Dongwoo Engineering Co.,Ltd"
f8:b5:68,"LifePrint Products, Inc."
f8:b5:68,etectRx
f8:b5:68,"Combiwins Technology Co.,Limited"
28:2c:02,"SAKATA DENKI Co., Ltd."
38:73:ea,Annapurna labs
38:73:ea,"Shenzhen Jixian Technology Co., Ltd."
40:48:fd,Plus One Global Ltd.
38:73:ea,PingGPS Inc
38:73:ea,"SHENZHEN CSE TECHNOLOGY CO., LTD"
38:73:ea,"Proch plastic Co., Ltd."
38:73:ea,LG Electronics
34:d0:b8,Captec Ltd
8c:14:7d,Anyware Solutions ApS
34:d0:b8,Meatest sro
ec:9f:0d,WisIOE
ac:1d:df,Fine Inc.
ac:1d:df,Elekon AG
ac:1d:df,"HellaStorm, Inc."
ac:1d:df,WESCO INTEGRATED SUPPLY
74:1a:e0,"FUJIAN TAILI COMMUNICATION TECHNOLOGY CO.,LTD"
74:1a:e0,NURA HOLDINGS PTY LTD
74:1a:e0,bistos.co.ltd
74:1a:e0,Huano International Technology Limited
74:1a:e0,Revl Inc.
cc:22:37,Terma Sp. z o.o.
2c:27:9e,Rutledge Omni Services Pte Ltd
2c:27:9e,Forties Inc.
2c:27:9e,"Kunyi electronic technology (Shanghai) Co., Ltd."
2c:27:9e,"Changzhou WEBO Weighing Device & System CO.,LTD"
18:9b:a5,Christ Electronic System GmbH
2c:27:9e,"Jiangsu JianHu Science & Technology Co., Ltd."
90:4e:91,Apollo Video Technology
34:29:8f,ISRA Vision AG
34:00:8a,Hibertek International Limited
34:29:8f,Wiesheu GmbH
34:29:8f,Highlite International B.V.
28:f5:37,"Honeywell Safety Products USA, Inc"
e8:18:63,"AVCON Information Technology Co.,Ltd"
34:00:8a,"Shenzhen Andakai Technologies Co., Ltd."
34:00:8a,uberGARD Pte. Ltd.
78:d8:00,CL International
78:d8:00,"Korea Micro Wireless Co.,Ltd."
7c:ba:cc,Fossil Power Systems Inc
7c:ba:cc,"Fortem Technologies, Inc."
7c:ba:cc,Izkare
7c:ba:cc,Annapurna labs
7c:ba:cc,Yongguan Electronic Technology (D.G)LTD
f8:8a:3c,Josh.ai
4c:65:a8,Fuse
4c:65:a8,Beijing Bluehalo Internet Inc.
4c:65:a8,WELT Corporation
a0:c5:f2,"Serious Integrated, Inc."
a0:c5:f2,"Oray.com co., LTD."
4c:65:a8,"Wuhan MoreQuick Network Technology Co., Ltd."
4c:65:a8,"SHENZHEN LISAIER TRONICS CO.,LTD"
8c:14:7d,"Shenzhen Meidou Technology Co, Ltd."
8c:14:7d,Unwired Networks
f0:23:b9,Domotz Ltd
04:71:4b,Apparatebau Gauting GmbH
04:71:4b,uAvionix Corporation
04:71:4b,Energport Inc
60:d7:e3,"HuBDIC CO.,LTD"
04:71:4b,"Observables, Inc."
f0:23:b9,"Shenzhen Lachesis Mhealth Co., Ltd."
60:d7:e3,Nextivity
60:d7:e3,"Zhejiang Send Intelligent Technology,Ltd"
60:d7:e3,"HindlePower, Inc"
60:d7:e3,"Quantronix, Inc."
60:d7:e3,Hemisphere GNSS
08:ed:02,Savox Communications
08:ed:02,"Szok Energy and Communication Co., Ltd."
08:ed:02,Guard RFID Solutions
98:aa:fc,RPE RADICO
98:aa:fc,Nexus Electrical(Jiaxing) Limited
98:aa:fc,Beijing Tiandi-Marco Electro-Hydraulic Control System Company Ltd.
98:aa:fc,"Mekotronics Co., Ltd"
98:aa:fc,MCS Micronic Computer Systeme GmbH
14:4f:d7,Arkus-ST Ltd
14:4f:d7,"i-SENS, Inc."
1c:a0:d3,"Cirque Audio Technology Co., Ltd"
40:f3:85,PALAZZETTI LELIO SPA
a4:11:63,accesso Technology Group
1c:a0:d3,"Guang Dong He Zheng Network Technology Co.,Ltd"
8c:c8:f4,SHENZHEN D-light Technolgy Limited
8c:c8:f4,Trilux Group Management GmbH
40:f3:85,IntelliDesign Pty Ltd
40:f3:85,Embedded IQ
8c:c8:f4,"TOHO DENKI IND.CO.,LTD"
50:a4:d0,XinLian'AnBao（Beijing）Technology Co.，LTD.
8c:c8:f4,"Lanhomex Technology(Shen Zhen)Co.,Ltd."
8c:c8:f4,Swift Navigation Inc
50:a4:d0,"Shanghai Pujiang Smart Card Systems Co., Ltd."
8c:c8:f4,"Guardtec,Inc"
50:a4:d0,OEM PRODUCTION INC.
34:04:9e,"Eginity, Inc."
34:04:9e,Eclipse Information Technologies
50:a4:d0,TREXOM S.r.l.
40:ed:98,Siebert Industrieelektronik GmbH
40:ed:98,Vaisala Oyj
34:04:9e,uikismart
40:ed:98,"Shanghai Broadwan Communications Co.,Ltd"
40:ed:98,Cape
40:ed:98,"Tsinghua Tongfang Co., LTD"
a4:58:0f,"EYE IO, LLC"
a4:58:0f,"Astro, Inc"
a4:58:0f,"GUANGZHOU OPTICAL BRIDGE COMMUNICATION EQUIPMENT CO.,LTD."
50:0b:91,Panasonic Enterprise Solutions Company
24:4e:7b,Leshi Internet Information & Technology (Beijing) Corp.
24:4e:7b,"WithWin Technology ShenZhen CO.,LTD"
24:4e:7b,"Jiangsu Xuanbo Electronic Technologies Co.,Ltd"
50:0b:91,"Shenzhen Xinfa Electronic Co.,ltd"
7c:cb:e2,mirakonta s.l.
7c:cb:e2,Polarteknik Oy
24:4e:7b,"RCC TIME CO .,LIMITED"
48:65:ee,"Mission Microwave Technologies, Inc"
48:65:ee,Venture Research Inc.
1c:c0:e1,LX Corporation Pty Ltd
4c:e1:73,outpaceIO
4c:e1:73,Plus One Japan Limited
1c:c0:e1,Shenzhen Highsharp Electronics Ltd.
4c:e1:73,REMONDE NETWORK
0c:ef:af,Kenmore
38:3a:21,"Shenzhen HS Fiber Communication Equipment CO., LTD"
ac:64:dd,8Cups
ac:64:dd,JSC InfoTeCS
ac:64:dd,Groupe Citypassenger Inc
38:3a:21,Colooc AB
38:3a:21,"Shenzhen Smart-core Technology co., Ltd."
f8:1d:78,Digital Imaging Technology
f8:1d:78,"SHANGHAI SUN TELECOMMUNICATION CO., LTD."
f8:1d:78,Tofino
f8:1d:78,AVPro Global Holdings LLC
38:3a:21,Dongguan Innovation Technology Co Ltd
70:f8:e7,Fixstars Corporation
70:f8:e7,VOXX International
84:e0:f4,Scale-Tec Ltd.
84:e0:f4,"Hangzhou Uni-Ubi Co.,Ltd."
c0:d3:91,xxter bv
58:e8:76,"Xiamen Cacamle Technology Co.,Ltd."
58:e8:76,"Broad Air Technology Co., LTD."
c0:d3:91,"ALNETz Co.,LTD"
58:e8:76,Annapurna labs
58:e8:76,McWong International Inc
f0:ac:d7,Intenta GmbH
f0:ac:d7,QUANTUM POWER SYSTEMS
f0:ac:d7,Med-Pat/Inn-Phone
f0:ac:d7,"Guilin glsun Science and Tech Co.,LTD"
28:36:38,SCA Hygiene Products AB
28:36:38,"ShangHai Canall Information Technology Co.,Ltd"
28:36:38,Havells India Limited
28:36:38,Innovative Technology Ltd
8c:19:2d,TeleAlarm SA
38:b8:eb,ExaScaler Inc.
8c:19:2d,"Shenzhen Huanuo Internet Technology Co.,Ltd"
8c:19:2d,DataRemote Inc.
d0:d9:4f,"Perfant Technology Co., Ltd"
d0:d9:4f,Apption Labs Limited
d0:d9:4f,Optigo Networks
d0:d9:4f,Beijing Yiwangxuntong Technology
d0:d9:4f,peiker CEE
cc:d3:1e,Haishu Technology LIMITED
c4:7c:8d,"HHCC Plant Technology Co.,Ltd."
cc:d3:1e,Elk Products
cc:d3:1e,BBPOS International Limited
68:91:d0,Altis Technology
c4:7c:8d,"Awiselink Co., Ltd."
c4:7c:8d,INOTEC Sicherheitstechnik GmbH
68:91:d0,WiseCube
c4:7c:8d,Airbus DS - SLC
c4:7c:8d,"PASCAL Co., Ltd."
68:91:d0,Omniimpex GmbH
e0:b6:f5,Agora
e0:b6:f5,Folksam AB
e0:b6:f5,ITEL MOBILE LIMITED
50:ff:99,Goetting KG
50:ff:99,Coyote Sytem
50:ff:99,"Shenzhen Haipengxin Electronic Co., Ltd."
50:ff:99,Sichuan Dowlab Electronics Technology Co. Ltd
98:6d:35,"Shenzhen cositea electronics technology co.,LTD"
7c:47:7c,EyeLock LLC
98:6d:35,"Beijing 3CAVI Tech Co.,Ltd"
7c:47:7c,Annapurna labs
5c:f2:86,VPInstruments
5c:f2:86,"Shanghai Notion Information Technology CO.,LTD."
5c:f2:86,Sunpet Industries Limited
5c:f2:86,"beijing your wonderful control system technology co.,ltd"
5c:f2:86,EUROIMMUN Medizinische Labordiagnostika AG
5c:f2:86,"BrightSky, LLC"
38:fd:fe,"iSmart electronic technology co.,LTD"
5c:f2:86,"SHENZHEN HIVT TECHNOLOGY CO.,LTD"
38:fd:fe,Rademacher Geraete-Elektronik GmbH
38:fd:fe,"Smart Solution Technology, Inc"
38:b8:eb,Wyres SAS
78:ca:83,Excelocity Inc.
78:ca:83,Louroe Electronics
38:b8:eb,Dojo-Labs Ltd
78:ca:83,DAINCUBE
1c:88:79,"Airsmart System Co.,Ltd"
1c:88:79,Eolos IT Corp
1c:88:79,Accriva
1c:87:79,BEIDIAN  GROUP
1c:87:79,"Shenzhen Innovaconn Systems Co.,Ltd"
1c:87:79,AllThingsTalk
1c:87:76,EBS Sp. z o.o.
1c:87:79,"Shenzhen Shouxin Tongda Technology Co.,Ltd"
84:39:be,"Shenzhen Lidaxun Digital Technology Co.,Ltd"
84:39:be,EDC Electronic Design Chemnitz GmbH
84:39:be,Emotiq s.r.l.
40:a3:6b,PH Technical Labs
80:0a:80,"Beijing VControl Technology Co., Ltd."
80:0a:80,"Sumitomo Wiring Systems, Ltd."
80:0a:80,"LLVISION TECHNOLOGY CO.,LTD"
cc:1b:e0,IC RealTech
00:55:da,"Beijing Connected Information Technology Co.,Ltd."
cc:1b:e0,MobiStor Technology Inc.
cc:1b:e0,MDT technologies GmbH
cc:1b:e0,NEWSTAR (HK) ELECTRONIC DEVELOPMENT LIMITED
00:55:da,Interaxon Inc
00:55:da,"Arrow Electronics,Inc."
cc:1b:e0,"Shenzhen Vanstor Technology Co.,Ltd"
a0:3e:6b,Qunar.com
a0:3e:6b,718th  Research  Institute  of  CSIC
a0:3e:6b,Incogniteam Ltd.
a0:3e:6b,"Friday Lab, UAB"
c8:8e:d1,AP Sensing GmbH
c8:8e:d1,"Shenyang Machine Tool(Group) Research & Design Institute Co., Ltd, Shanghai Branch"
c8:8e:d1,ROTRONIC AG
a0:3e:6b,Videx Electronics S.p.A.
dc:44:27,Wharton Electronics Ltd
1c:21:d1,Dynojet Research
1c:21:d1,Reliatronics Inc.
b0:c5:ca,Astyx GmbH
dc:44:27,General Microsystems Sdn Bhd
dc:44:27,Suritel
1c:21:d1,B-Scada Inc.
b0:c5:ca,IVK-SAYANY
b0:c5:ca,SYSTOVI
78:c2:c0,"Wan Chao An (Beijing) Technology Co., Ltd."
b4:37:d1,"DIMTON CO.,LTD."
b4:37:d1,Alturna Networks
b4:37:d1,Fibersystem AB
78:c2:c0,"Shenzhen ELI Technology co.,ltd"
88:5d:90,"Wuhan Strong Electronics Co., Ltd"
88:5d:90,"Schmidt & Co.,(H.K.)Ltd."
88:5d:90,iRoom GmbH
88:5d:90,Premier Merchandises Limited
74:f8:db,Provision-ISR
64:fb:81,Kay Schulze & Karsten Pohle GbR
64:fb:81,NPG Technology S.A.
80:7b:85,Oliotalo Oy
80:7b:85,SMART ELECTRONICS NZ LIMITED
54:9a:11,SpearX Inc.
80:7b:85,"Ningbo Plus and Popscreens electronic Technology Co.,LTD"
64:fb:81,Bronkhorst High-Tech BV
80:e4:da,Elcus
64:fb:81,Pricer AB
1c:ca:e3,PGA ELECTRONIC
64:fb:81,MOBILUS Inc.
1c:ca:e3,Private
90:c6:82,"Shenzhen Lencotion Technology Co.,Ltd"
2c:d1:41,CITA SMART SOLUTIONS LTD
80:e4:da,Shortcut Labs
80:e4:da,Wheatstone Corporation
2c:d1:41,"Fiberroad Technology Co., Ltd."
2c:d1:41,ZENIC INC.
2c:6a:6f,Logic IO Aps
2c:6a:6f,"SM DSP CO.,LTD."
a0:bb:3e,ManTech International Corporation
a0:bb:3e,Filo SRL
98:02:d8,Private
2c:6a:6f,"ELKO EP, s.r.o."
98:02:d8,"Zedi, Inc."
98:02:d8,"Simplo Technology Co.,LTD"
28:fd:80,Airbus Defence and Space Oy
a0:bb:3e,"IVision Electronics Co.,Ltd"
a0:bb:3e,WiteRiver Technology LLC
28:fd:80,"Zhixiang Technology Co., Ltd."
2c:26:5f,"Jiangsu JARI Technology Group Co., LTD"
2c:26:5f,Polara Engineering
0c:ef:af,"GainStrong Industry Co.,Ltd"
0c:ef:af,"chengdu joyotime Technology Co., Ltd."
f8:02:78,"CLARUS Korea Co., Ltd"
f8:02:78,Rosemount Analytical
a4:4f:29,HTD
a4:4f:29,"GUANGDONG REAL-DESIGN INTELLIGENT TECHNOLOGY CO.,LTD"
3c:39:e7,"VANSTONE ELECTRONIC (BEIJING)CO,. LTD."
a4:4f:29,Dermalog Identification Systems GmbH
3c:39:e7,Attrackting AG
0c:ef:af,Goerlitz AG
3c:39:e7,Martem AS
3c:39:e7,HomeWizard B.V.
10:07:23,"BEIJING SOOALL INFORMATION TECHNOLOGY CO.,LTD"
e8:18:63,"Protek Electronics Group Co.,LTD"
d0:22:12,Spirit IT B.V.
d0:22:12,Viatron GmbH
b8:d8:12,V5 Technology Corporation
74:e1:4a,"Kanto Aircraft Instrument Co., Ltd."
74:e1:4a,APM Technologies (DongGuan) Ltd
b8:d8:12,Kiwigrid GmbH
e4:95:6e,"Shanghai Tieda Telecommunications Equipment Co.,LTD."
bc:66:41,"UtilLighting Co.,Ltd."
e4:95:6e,PT.MLWTelecom
e4:95:6e,"SMC Networks, Inc"
bc:66:41,Global China Technology Limited
58:fc:db,Spang Power Electronics
b0:1f:81,Access Device Integrated Communications Corp.
58:fc:db,"Hi-Target Surveying Instrument Co., Ltd."
58:fc:db,Inforce Computing Inc.
bc:66:41,"Intuitive Surgical, Inc"
14:1f:ba,POS Systema LLC
f4:0e:11,"BEIJING DONGJIN AERO-TECH CO., LTD"
b0:1f:81,"Aether Services, Inc."
f4:0e:11,Kodpro Ltd.
14:1f:ba,"Wisnetworks Technologies Co., Ltd."
7c:70:bc,"K-Vision Technology (Shanghai), Ltd"
7c:70:bc,Nomad Digital Ltd.
7c:70:bc,Shanghai magcomm communication technology co ltd
14:1f:ba,BYZERO
bc:34:00,Q-PRODUCTS a. s.
bc:34:00,Altronix Corporation
bc:34:00,Redvision CCTV
a4:3b:fa,Recognition Systems LLC
a4:3b:fa,Deatronic srl
d0:76:50,Private
d0:76:50,Accumulate AB
74:19:f8,"Starcor Beijing Co.,Limited"
74:19:f8,Princip a.s.
74:19:f8,Tanjarine
74:19:f8,Quest Payment Systems
74:19:f8,Symtop Instrument Co.
4c:4b:f9,Electrolux Professional AB
40:11:75,MIRC ELECTRONICS LTD
40:11:75,Table Trac Inc
40:11:75,"Lexi Devices, Inc."
40:11:75,NIBBLE
40:11:75,"Fujian Kuke3D Technology Co.,LTD"
10:dc:b6,Pickering Interfaces Ltd
10:dc:b6,"Moya Commumication Technology (Shenzhen) Co.,Ltd."
54:a4:93,Intelligent Surveillance Corp
54:a4:93,"I-MOON TECHNOLOGY CO., LIMITED"
04:d1:6e,Dspread Technology (Beijing) Inc.
04:d1:6e,Evolute Systems Private Limited
44:03:77,Exsom Computers LLC
44:03:77,SHEN ZHEN HUAWANG TECHNOLOGY CO; LTD
44:03:77,"Atari, Inc."
44:03:77,Lenovo Image(Tianjin) Technology Ltd.
44:03:77,"Bolin Technology Co., Ltd"
50:62:55,COTT Electronics
50:62:55,"SHINSOFT CO., LTD."
1c:fd:08,Cobham Slip Rings
c4:95:4d,BA International Electronics Co. Ltd.
c4:95:4d,LLC TechnoEnergo
c4:95:4d,"Xinjiang Golden Calf Energy IOT Technology Co., Ltd"
c4:95:4d,Teletronik AG
c4:95:4d,AKKA Germany GmbH
64:31:39,Livongo Health
c4:95:4d,KAT Mekatronik Urunleri AS
c4:95:4d,GL Solutions Inc.
00:69:67,miliwave
00:69:67,Comcast-SRL
00:69:67,aversix
00:69:67,"Ningbo Shen Link Communication Technology Co.,Ltd"
00:69:67,"Zhejiang Holip Electronic Technology Co.,Ltd"
a0:22:4e,"Hunan Youmei Science&Technology Development Co.,Ltd."
a0:22:4e,"MESIT asd, s.r.o."
a0:22:4e,"Standartoptic, Limited Liability Company"
20:0a:0d,Amazon Technologies Inc.
20:0a:0d,Clearly IP Inc
20:0a:0d,Bently & EL  Co. Ltd.
20:0a:0d,Austin Hughes Electronics Ltd.
20:0a:0d,"HANGZHOU DANGBEI NETWORK TECH.Co.,Ltd"
40:2c:76,"Beijing Smarot Technology Co., Ltd."
40:2c:76,Shanghai Dahua Scale Factory
50:de:19,"Tianjin Natianal Health Technology Co.,Ltd"
50:de:19,Clear Flow by Antiference
50:de:19,AEG Identifikationssysteme GmbH
50:de:19,SPII SPA
50:a4:d0,TRAXENS
50:de:19,TRAXENS
3c:fa:d3,LIPS Corporation
50:de:19,Tannak International AB
3c:fa:d3,Annapurna labs
3c:fa:d3,"Corelink Technology Co.,Ltd"
3c:fa:d3,"Shenzhen Vplus Communication Intelligent Co., Ltd."
b0:b3:53,WUUK LABS CORP.
b0:b3:53,"Nanjing Yining Intelligent Technology Co., Ltd."
b0:b3:53,"Beijing Geekplus Technology Co.,Ltd."
b0:b3:53,IPvideo Corporation
b0:b3:53,Blake UK
b0:b3:53,Zoox
14:ae:85,"Qingdao iTechene Technologies Co., Ltd."
14:ae:85,"Henfred Technology Co., Ltd."
14:ae:85,MTA Systems
64:62:66,"MiiVii Dynamics Technology CO.,LTD"
64:62:66,Annapurna labs
64:62:66,Bühler AG
64:62:66,"Shenzhen Jie Shi Lian Industrial Co., LTD"
64:62:66,Leontech Limited
94:cc:04,Sam Nazarko Trading Ltd
